path,status,owner,reviewed_at,notes
AGENTS.md,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
CHANGELOG.md,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
CONTRIBUTING.md,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
Dockerfile,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
Dockerfile.sandbox,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
Dockerfile.sandbox-browser,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
Dockerfile.sandbox-common,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
LICENSE,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
README.md,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
SECURITY.md,done,round9-subagents,2026-02-17,round9:chunk_001_AGENTS.md
Swabble/CHANGELOG.md,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/LICENSE,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Package.resolved,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Package.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/README.md,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Config/Config.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Hooks/HookExecutor.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Speech/BufferConverter.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Speech/SpeechPipeline.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Support/AttributedString+Sentences.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Support/Logging.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Support/OutputFormat.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleCore/Support/TranscriptsStore.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/SwabbleKit/WakeWordGate.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/CLI/CLIRegistry.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/DoctorCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/HealthCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/MicCommands.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/ServeCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/ServiceCommands.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/SetupCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/StartStopCommands.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/StatusCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/TailLogCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/TestHookCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/Commands/TranscribeCommand.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Sources/swabble/main.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Tests/SwabbleKitTests/WakeWordGateTests.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/Tests/swabbleTests/ConfigTests.swift,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/docs/spec.md,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/scripts/format.sh,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
Swabble/scripts/lint.sh,done,round7-subagents,2026-02-17,round7:chunk_020_Swabble_p01
appcast.xml,done,round9-subagents,2026-02-17,round9:chunk_002_appcast.xml
apps/android/README.md,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/build.gradle.kts,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/proguard-rules.pro,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/AndroidManifest.xml,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/CameraHudState.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/DeviceNames.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/InstallResultReceiver.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/LocationMode.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/MainActivity.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/MainViewModel.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/NodeApp.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/NodeForegroundService.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/NodeRuntime.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/PermissionRequester.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/ScreenCaptureRequester.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/SecurePrefs.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/SessionKey.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/VoiceWakeMode.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/WakeWords.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/chat/ChatController.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/chat/ChatModels.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/BonjourEscapes.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/DeviceAuthStore.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/DeviceIdentityStore.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewayDiscovery.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewayEndpoint.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewayProtocol.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewaySession.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewayTls.kt,done,round7-subagents,2026-02-17,round7:chunk_006_apps_android_p01
